ApplicationDate;requested_amount;has_co_adress;CivilStatus;NrOfChildren;age;Has_Co_Appl_Flag;UC_Req_L3M;UC_Req_L6M;UC_Req_L12M;Bureau_Score;Blanco_loan_debt;NumberOfLoans;Has_Mortgage;default_flag;income_year1;income_year2;refinance_flag;has_repayment_loan;has_creditcard_loan;gender;broker_id;NrOfCars
52019;50000;0;Cohabiting;1;37;0;3;7;9;12.1;457279;12;1;0;$381,700.00;$357,400.00;0;1;1;M;10;8
52019;300000;0;Single;0;35;0;6;12;12;9.9;300399;2;0;0;$215,900.00;$139,700.00;1;0;1;F;6;2
52019;100000;0;Married;1;35;0;5;6;6;6.4;0;5;0;0;$135,200.00;$250,000.00;1;0;1;M;12;3
52019;150000;0;Single;0;53;0;5;8;11;14.1;333439;7;0;0;$302,300.00;$318,100.00;1;1;1;F;14;4
52019;250000;0;Single;0;50;0;1;3;5;4.2;209839;8;0;0;$361,400.00;$339,700.00;0;0;1;M;10;4
52019;60000;0;Single;0;60;0;5;8;10;16;84283;6;0;0;$167,400.00;$190,100.00;1;0;1;F;1;8
52019;250000;0;Cohabiting;0;34;0;12;24;24;16;169994;5;0;0;$260,100.00;$303,500.00;1;0;1;M;10;4
52019;20000;0;Single;0;34;0;6;6;9;14.9;250690;9;1;0;$360,800.00;$308,600.00;0;0;1;M;10;4
52019;330000;0;Cohabiting;0;34;0;12;28;28;3.2;200666;3;1;0;$457,000.00;$981,700.00;0;0;0;M;9;0
52019;100000;0;Married;3;30;0;2;4;24;4.6;509713;11;0;0;$179,000.00;$161,300.00;1;1;1;M;10;4
52019;350000;0;Single;0;28;0;6;12;24;10;0;7;1;0;$289,700.00;$348,700.00;0;0;1;M;9;5
52019;160000;0;Single;0;28;0;2;4;6;1.6;173611;3;0;0;$245,100.00;$341,100.00;1;0;1;M;13;4
52019;400000;0;Cohabiting;0;27;0;12;15;15;2.7;298958;3;0;1;$365,100.00;$344,200.00;0;0;1;M;9;4
52019;100000;0;Single;0;25;0;1;2;4;10.8;51295;4;0;0;$245,100.00;$36,200.00;0;1;1;F;6;10
52019;30000;0;Cohabiting;0;24;0;3;5;12;9.7;14166;2;0;0;$145,000.00;$94,600.00;0;1;0;F;10;4
52019;400000;0;Single;0;24;0;4;12;12;1.1;298317;2;0;1;$384,200.00;$322,900.00;1;1;0;M;13;1
52019;150000;0;Married;3;56;0;1;3;4;9.3;0;3;0;0;$244,200.00;$259,300.00;0;0;1;M;14;2
52019;400000;0;Cohabiting;0;55;0;4;10;11;17.5;638502;14;0;0;$246,700.00;$254,800.00;1;0;1;M;8;8
52019;200000;0;Married;1;46;0;1;4;7;4.8;0;0;0;0;$172,200.00;$71,700.00;0;0;0;M;6;10
52019;400000;0;Married;0;44;0;1;1;1;0.4;440648;5;0;0;$243,200.00;$209,500.00;1;0;0;F;6;1
52019;400000;0;Single;0;40;0;2;3;5;5.3;378133;8;0;0;$395,200.00;$342,100.00;1;0;1;M;13;3
52019;400000;0;Single;2;34;0;2;12;14;4.1;527990;5;0;0;$412,300.00;$422,000.00;1;0;1;F;8;4
52019;280000;0;Single;0;33;0;2;5;6;3;200819;4;0;0;$189,100.00;$101,800.00;0;0;1;M;8;3
52019;330000;0;Married;0;58;0;4;4;5;6.3;248286;13;0;0;$225,000.00;$221,800.00;1;0;1;F;9;4
52019;230000;0;Married;2;48;0;2;8;12;14.8;390815;5;0;1;$208,200.00;$361,400.00;0;0;1;M;10;1
52019;400000;0;Married;4;44;0;8;12;16;3.2;257628;5;0;0;$273,400.00;$372,100.00;1;0;1;M;13;1
52019;350000;0;Single;0;41;0;3;3;8;2.2;354226;8;1;0;$181,700.00;$87,600.00;1;0;0;M;6;1
52019;400000;0;Married;1;39;0;2;4;6;2.7;0;0;0;0;$191,000.00;$164,400.00;0;0;0;M;6;1
52019;400000;0;Married;0;31;0;1;3;6;9;0;1;0;0;$145,600.00;$30,000.00;0;0;1;M;6;3
52019;20000;0;Single;0;22;0;1;4;9;7.3;341259;3;0;0;$190,500.00;$256,500.00;0;0;0;F;10;2
52019;400000;0;Married;1;45;0;2;5;7;4.8;344981;8;0;0;$260,000.00;$262,400.00;1;1;1;F;11;3
52019;250000;0;Single;0;41;0;12;30;45;17.4;143750;9;0;1;$254,700.00;$201,200.00;0;1;1;M;10;4
52019;400000;0;Single;0;29;0;1;2;2;0.4;323254;4;0;0;$229,700.00;$223,900.00;0;1;1;M;10;4
52019;400000;0;Married;3;44;0;4;4;8;7.3;372160;18;1;0;$351,400.00;$331,600.00;1;1;1;M;8;4
52019;400000;0;Married;0;31;0;1;1;3;0.3;493340;7;1;0;$251,900.00;$329,900.00;1;1;1;M;13;4
52019;400000;0;Married;1;39;0;1;3;7;3.1;293747;5;0;0;$319,500.00;$368,200.00;1;0;1;M;8;0
52019;100000;0;Married;3;33;0;2;4;6;7.1;345139;7;0;0;$365,300.00;$329,400.00;1;1;1;M;16;8
52019;150000;0;Married;0;28;0;2;4;16;9.6;32524;4;0;0;$289,200.00;$21,000.00;1;0;1;M;14;5
52019;400000;0;Cohabiting;0;29;0;1;3;6;6.4;691253;5;0;0;$555,300.00;$429,000.00;1;0;1;M;8;2
52019;50000;0;Married;1;56;0;6;15;24;17.8;336760;11;0;0;$195,700.00;$198,000.00;0;0;1;M;1;3
52019;400000;0;Cohabiting;0;52;0;1;1;4;4.8;192478;2;0;0;$317,100.00;$314,300.00;0;0;0;M;1;1
52019;300000;1;Cohabiting;0;58;0;4;12;18;2.5;671905;7;0;0;$344,700.00;$369,700.00;1;0;1;M;16;3
52019;150000;0;Married;0;48;0;2;2;6;2;421612;9;1;0;$284,600.00;$269,900.00;1;0;1;F;14;1
52019;10000;0;Single;0;45;0;21;21;27;4.9;0;6;1;0;$762,400.00;$733,300.00;0;1;1;F;10;5
52019;300000;0;Married;0;40;0;3;5;9;15.1;234890;3;0;0;$199,700.00;$150,000.00;1;0;1;F;13;3
52019;160000;0;Cohabiting;0;62;0;4;5;9;3.1;328225;11;1;0;$284,400.00;$291,100.00;0;0;1;F;10;3
52019;70000;0;Married;1;60;0;11;15;15;8.9;163916;13;1;0;$370,500.00;$424,800.00;0;0;1;M;1;1
52019;30000;0;Cohabiting;0;60;0;6;6;10;12.8;405526;11;0;0;$286,100.00;$278,600.00;0;1;1;F;8;6
52019;80000;0;Married;1;34;0;12;20;32;1.9;293668;6;1;0;$324,500.00;$321,700.00;0;0;0;M;8;2
52019;40000;0;Single;0;34;0;8;14;34;17.4;188614;4;1;0;$222,600.00;$208,500.00;1;0;1;M;10;5
52019;60000;0;Cohabiting;2;31;0;1;3;8;6.7;158746;4;0;0;$196,200.00;$121,300.00;0;1;0;F;10;1
52019;60000;0;Single;0;31;0;3;3;13;8;52332;1;0;0;$199,000.00;$194,400.00;0;0;0;M;10;2
52019;230000;0;Cohabiting;1;23;0;6;21;33;13.3;404352;7;0;0;$274,700.00;$235,900.00;1;1;1;F;10;3
52019;10000;0;Single;0;22;0;4;6;7;6.8;81779;4;0;0;$310,800.00;$313,900.00;0;1;1;M;8;0
52019;200000;0;Married;1;40;0;4;13;14;6.1;136875;4;1;0;$481,300.00;$385,200.00;1;1;0;M;10;4
52019;140000;0;Cohabiting;1;38;0;1;1;6;16;673046;12;0;0;$251,600.00;$288,000.00;1;0;1;F;11;2
52019;310000;0;Married;0;35;0;32;52;108;14.7;190223;4;0;0;$443,800.00;$203,700.00;1;1;1;M;1;3
52019;400000;0;Cohabiting;0;32;0;1;1;4;3.6;453405;6;0;0;$281,300.00;$230,000.00;1;1;1;M;13;4
52019;150000;0;Married;1;31;0;4;12;16;12;0;5;0;0;$303,100.00;$255,500.00;1;0;1;M;14;3
52019;10000;0;Cohabiting;1;29;0;1;1;3;0.7;188888;2;1;0;$329,100.00;$1,332,500.00;0;0;0;M;10;3
52019;400000;0;Married;2;25;0;3;7;10;7.4;37737;5;1;0;$276,900.00;$158,000.00;1;0;1;F;8;2
52019;150000;0;Cohabiting;0;23;0;3;5;7;13.5;25214;2;0;0;$284,000.00;$169,300.00;1;0;1;F;14;3
52019;150000;0;Cohabiting;0;61;0;2;2;7;10.3;567628;7;0;0;$303,800.00;$279,700.00;1;0;1;F;14;2
52019;320000;0;Cohabiting;2;60;0;3;6;10;16.2;379801;17;0;0;$293,400.00;$294,000.00;1;0;1;M;8;0
52019;400000;0;Single;1;49;0;1;2;14;14.8;42988;3;0;0;$439,200.00;$291,200.00;0;0;1;M;8;1
52019;400000;0;Cohabiting;2;49;0;2;2;7;3.2;595478;10;1;0;$318,500.00;$293,100.00;1;1;1;M;12;3
52019;400000;0;Married;0;48;0;1;4;6;1.4;397945;7;1;0;$365,300.00;$387,800.00;1;1;1;F;7;8
52019;150000;0;Single;0;39;0;14;16;22;7.4;365023;2;0;0;$462,700.00;$345,600.00;1;0;0;M;14;2
52019;250000;0;Married;1;37;0;32;84;104;14.7;69055;3;0;0;$331,300.00;$130,700.00;1;0;1;F;10;0
52019;220000;0;Married;0;31;0;1;2;8;3;279092;3;0;0;$196,300.00;$219,900.00;0;0;0;M;10;2
52019;80000;0;Single;0;30;0;16;16;46;8.5;309567;10;0;1;;$291,600.00;1;1;0;M;10;2
52019;300000;0;Single;0;24;0;2;5;10;7.1;328852;5;0;0;$244,400.00;$142,600.00;0;0;1;M;10;2
52019;350000;0;Single;0;58;0;2;6;11;11.8;227084;5;0;0;$280,500.00;$277,200.00;1;0;1;M;13;1
52019;400000;0;Single;1;50;0;1;3;7;3.8;708208;13;1;0;$321,200.00;$293,700.00;1;1;1;M;16;0
52019;400000;0;Single;0;48;0;2;2;3;0.1;0;3;1;0;$410,000.00;$386,400.00;0;0;0;M;3;1
52019;150000;0;Single;1;43;0;1;2;6;4.4;733893;17;1;0;$507,200.00;$391,800.00;1;0;1;M;14;5
52019;300000;0;Married;2;39;0;1;2;5;3.1;146559;2;0;1;$184,400.00;$142,800.00;1;0;0;F;7;3
52019;400000;0;Married;0;54;0;1;3;3;0.4;376211;2;0;0;;$242,200.00;0;0;0;F;6;0
52019;380000;0;Single;2;49;0;3;4;9;14;360670;13;0;0;$438,300.00;$396,700.00;1;1;1;F;16;4
52019;340000;0;Single;0;39;0;2;16;28;8.5;341893;4;0;0;$264,200.00;$233,100.00;1;0;1;M;11;3
52019;400000;1;Cohabiting;0;31;0;7;14;21;5.3;418795;5;0;1;$333,000.00;$334,100.00;1;0;0;M;1;2
52019;80000;0;Cohabiting;0;49;0;2;3;6;6.7;611767;12;0;0;$398,700.00;$415,500.00;0;0;1;M;10;0
52019;400000;0;Cohabiting;2;28;0;1;4;11;15.4;501434;11;1;0;$218,500.00;$257,700.00;1;1;1;M;16;1
52019;100000;0;Single;0;23;0;6;7;12;5.7;50437;2;0;0;$284,800.00;$189,000.00;1;0;0;F;14;5
52019;10000;0;Single;0;62;0;11;24;41;12.8;155353;13;0;0;$372,900.00;$674,700.00;0;0;1;M;10;5
52019;100000;0;Cohabiting;0;46;0;1;3;12;16.4;695862;8;0;0;$242,700.00;$303,400.00;1;0;1;F;10;5
52019;150000;0;Married;1;41;0;8;16;56;17.4;869;6;0;0;$141,000.00;$55,100.00;1;0;1;F;14;4
52019;50000;0;Single;0;30;0;2;2;5;14.9;397368;5;0;0;;$161,700.00;0;0;1;M;14;6
52019;50000;0;Single;1;40;0;5;5;10;17.9;190516;11;0;0;$277,000.00;$133,300.00;1;0;1;F;10;3
52019;90000;0;Single;0;46;0;1;4;7;5.2;538810;16;1;0;$393,200.00;$359,100.00;0;1;1;F;10;5
52019;200000;0;Married;0;34;0;8;15;21;12.9;684752;10;0;0;$202,900.00;$311,000.00;1;1;1;M;10;0
52019;400000;0;Married;2;33;0;1;6;8;15.1;204429;5;0;0;$146,600.00;$122,000.00;1;1;1;M;1;5
52019;10000;0;Single;0;24;0;12;18;18;16.9;28312;5;1;1;$154,500.00;$88,700.00;0;0;1;F;10;0
52019;25000;0;Single;0;21;0;0;0;0;0.9;0;1;0;0;$237,100.00;$73,500.00;0;1;0;F;3;4
52019;80000;0;Married;0;51;0;5;13;36;12.3;257745;10;1;0;;$165,600.00;1;1;1;F;10;0
52019;50000;0;Cohabiting;2;46;0;0;2;5;0.8;32293;2;1;0;$253,600.00;$295,200.00;1;0;0;F;3;1
52019;200000;0;Married;0;39;0;4;4;14;17.4;376773;10;0;0;$201,700.00;$257,600.00;0;1;1;M;10;2
52019;30000;0;Cohabiting;2;37;0;3;18;27;3.7;616887;9;0;0;$346,800.00;$300,100.00;0;1;1;M;10;2
52019;50000;0;Single;0;25;0;6;8;11;13.1;30331;5;0;1;$289,700.00;$275,000.00;0;1;1;M;10;5
52019;20000;0;Cohabiting;0;60;0;14;20;36;16.8;404326;12;1;0;$181,100.00;$144,200.00;0;0;1;M;1;2
52019;180000;0;Married;2;40;0;6;6;12;17.5;427794;15;1;0;$378,700.00;$329,100.00;1;1;1;M;10;6
52019;310000;0;Married;2;39;0;8;14;24;13;399119;13;1;0;$305,600.00;$359,500.00;1;1;1;F;1;1
52019;110000;0;Married;1;30;0;11;14;23;8.6;232537;2;0;0;$428,200.00;$363,100.00;1;0;0;M;10;8
52019;60000;0;Married;0;57;0;2;2;12;13.7;63211;12;1;0;$215,400.00;$200,500.00;0;0;1;F;10;0
52019;250000;0;Single;0;28;0;3;4;8;1.5;17324;2;0;0;$342,000.00;$339,700.00;1;0;0;M;10;2
52019;250000;0;Married;2;37;0;3;4;9;15;349586;12;0;0;$186,400.00;$184,100.00;1;1;1;F;10;4
52019;90000;0;Married;3;29;0;2;3;8;8.3;248298;10;0;0;$212,300.00;$202,500.00;1;1;1;F;10;4
52019;300000;0;Married;0;59;0;1;1;2;0.7;189245;8;1;0;$164,800.00;$51,200.00;1;0;1;F;13;2
52019;140000;0;Married;0;56;0;4;10;21;4;631187;10;1;1;$353,600.00;$375,000.00;0;0;1;M;10;3
52019;100000;0;Married;1;41;0;12;15;33;16.3;620817;4;0;1;$423,800.00;$437,900.00;0;0;1;M;10;3
52019;50000;0;Single;0;41;0;3;4;7;4.3;424246;20;1;0;$297,600.00;$286,000.00;1;0;1;F;8;1
52019;10000;0;Cohabiting;0;36;0;4;5;20;15.7;255224;6;0;0;$439,300.00;$479,000.00;0;1;1;F;8;4
52019;60000;0;Cohabiting;2;36;0;5;6;9;4;618017;8;0;0;$325,100.00;$326,500.00;0;1;0;F;10;1
52019;40000;0;Married;2;35;0;5;7;7;8.5;272142;21;1;1;$395,800.00;$373,700.00;1;1;1;M;8;6
52019;10000;0;Single;0;33;0;4;7;18;8.6;417266;8;1;0;;$403,600.00;0;0;0;M;10;8
52019;60000;0;Cohabiting;0;32;0;4;8;10;17.7;460617;9;0;0;$180,600.00;$217,000.00;1;1;1;F;10;2
52019;150000;0;Single;0;32;0;42;54;66;10.2;73563;6;1;1;$463,900.00;$309,200.00;1;1;1;F;14;1
52019;50000;0;Single;1;25;0;2;4;7;14.4;278872;7;0;0;$224,000.00;$194,200.00;0;1;1;F;6;4
52019;290000;0;Single;0;62;0;24;24;24;0.1;0;5;0;0;$554,700.00;$536,900.00;0;0;0;F;8;5
52019;40000;0;Cohabiting;0;60;0;4;4;10;12.4;197374;10;0;0;$172,200.00;$163,000.00;1;1;1;F;6;0
52019;400000;0;Married;0;54;0;1;1;1;0.6;41437;2;0;0;$178,200.00;$320,300.00;1;0;0;F;13;1
52019;400000;0;Married;1;49;0;1;3;4;3.7;444425;8;0;0;$516,200.00;$470,600.00;1;1;1;M;12;2
52019;250000;0;Single;1;47;0;2;4;6;8.9;355663;8;0;0;$411,300.00;$425,700.00;0;0;1;M;10;2
52019;400000;0;Cohabiting;1;43;0;2;12;18;3.9;247521;2;0;0;$335,000.00;$328,700.00;1;0;0;F;8;5
52019;140000;0;Married;1;43;0;4;7;12;15;47783;5;0;0;$300,800.00;$146,700.00;0;0;1;F;8;4
52019;70000;0;Cohabiting;3;43;0;3;6;12;5.9;386367;6;0;0;$272,800.00;$248,800.00;1;0;1;F;14;1
52019;100000;0;Married;1;40;0;9;27;51;15.9;709567;13;1;0;$285,900.00;$232,100.00;1;1;1;F;16;0
52019;20000;0;Single;0;40;0;3;6;8;9.4;91075;3;0;1;$176,500.00;$157,000.00;0;0;0;M;14;1
52019;80000;0;Married;2;39;0;2;4;9;13.9;301778;12;0;0;$306,200.00;$321,900.00;1;0;1;F;10;4
52019;150000;0;Cohabiting;0;39;0;2;10;18;7.6;397212;4;0;0;$276,400.00;$302,700.00;1;1;1;M;14;0
52019;400000;0;Single;0;26;0;1;3;5;2.4;380181;5;0;0;$329,000.00;$312,600.00;1;0;1;M;13;8
52019;300000;0;Single;0;26;0;3;4;7;2.8;73619;3;0;0;$185,000.00;$254,000.00;1;1;1;M;6;4
52019;300000;0;Married;0;60;0;2;6;9;11.8;446680;10;0;1;$178,200.00;$199,300.00;1;0;1;M;1;2
52019;400000;1;Married;1;47;0;2;3;3;1.8;146513;2;0;0;$210,000.00;$182,300.00;1;0;0;F;8;4
52019;30000;1;Single;0;43;0;1;5;6;13.2;179205;6;0;0;$167,600.00;$105,400.00;0;0;1;M;10;2
52019;200000;0;Cohabiting;2;42;0;2;5;10;13.7;196947;8;0;0;$268,000.00;$275,200.00;1;1;1;F;10;2
52019;150000;0;Married;0;41;0;1;1;3;0.5;571819;4;0;0;$279,900.00;$296,000.00;0;0;0;M;8;2
52019;300000;0;Cohabiting;0;36;0;1;3;6;8.5;409639;5;0;1;$257,200.00;$269,500.00;1;0;1;M;8;0
52019;400000;0;Married;0;33;0;1;2;4;3.1;184295;5;1;0;$229,200.00;$221,700.00;0;1;1;F;7;6
52019;400000;0;Cohabiting;0;29;0;3;5;11;11.7;546690;9;0;0;$341,900.00;$327,400.00;1;1;1;F;12;4
52019;60000;0;Single;0;28;0;2;2;3;2;0;0;0;0;$153,800.00;$14,800.00;0;0;0;M;6;2
52019;330000;0;Single;0;28;0;1;2;3;3;671754;10;0;0;$306,300.00;$330,900.00;1;0;1;M;11;2
52019;400000;0;Cohabiting;0;62;0;5;12;17;17.6;564904;17;1;0;$176,400.00;$168,000.00;1;0;1;M;11;1
52019;400000;0;Married;0;59;0;5;5;5;0.5;133036;1;0;1;$417,400.00;$68,300.00;0;0;0;M;13;2
52019;400000;0;Married;2;52;0;1;2;4;2.9;451440;13;0;0;$355,400.00;$310,500.00;1;0;1;M;8;4
52019;200000;0;Married;3;36;0;1;6;9;16.7;225752;4;0;0;$252,100.00;$215,400.00;0;0;1;M;3;4
52019;240000;0;Cohabiting;2;32;0;8;8;32;6.6;395542;6;0;0;$196,300.00;$246,800.00;1;1;1;F;8;4
52019;400000;0;Cohabiting;0;27;0;3;6;9;5;377835;6;0;0;$290,100.00;$162,000.00;1;1;1;M;13;0
52019;300000;0;Married;0;24;0;3;3;4;2.7;34732;1;0;0;$183,400.00;$135,800.00;1;0;0;M;10;4
52019;400000;0;Single;0;55;0;1;1;4;4.7;590185;21;0;0;$300,100.00;$301,800.00;1;1;1;F;13;0
52019;400000;0;Married;1;25;0;4;5;9;4;296294;8;0;0;$428,100.00;$388,500.00;1;0;1;M;1;1
52019;400000;0;Cohabiting;0;51;0;1;1;6;3.4;556260;11;1;0;$257,600.00;$337,300.00;1;0;1;M;12;8
52019;400000;0;Cohabiting;0;46;0;2;8;12;4.3;452161;17;0;0;$292,600.00;$301,500.00;1;0;1;F;12;3
52019;300000;0;Single;0;35;0;4;5;10;4.1;298803;2;0;0;$271,600.00;$236,200.00;1;0;0;M;6;1
52019;400000;0;Single;0;20;0;2;5;6;1.5;61108;2;0;0;$233,900.00;$139,200.00;1;1;0;M;10;4
52019;400000;0;Married;1;35;0;10;15;25;1;368177;7;0;1;$205,800.00;$214,100.00;1;1;0;M;6;1
52019;95000;0;Single;2;48;0;2;4;6;2.4;504408;9;0;0;$485,300.00;$649,000.00;0;1;1;F;3;0
52019;300000;0;Cohabiting;0;46;0;3;4;6;8.2;444890;5;0;0;$366,700.00;$80,400.00;1;0;1;M;6;4
52019;200000;0;Married;0;55;0;1;4;6;12.6;205007;13;0;0;$131,900.00;$151,000.00;1;0;1;M;16;3
52019;400000;0;Married;0;52;0;1;1;4;3.5;655726;8;0;0;$346,600.00;$381,000.00;1;0;1;M;13;2
52019;110000;0;Married;2;27;0;4;10;16;7.6;700680;12;1;0;$176,500.00;$248,800.00;1;0;1;F;8;6
52019;400000;0;Married;1;37;0;4;10;18;5.6;518960;4;0;0;$360,400.00;$621,400.00;1;0;1;M;6;10
52019;70000;0;Married;1;52;0;6;17;33;17.6;482365;18;0;0;$222,700.00;$248,000.00;0;1;1;M;1;5
52019;10000;0;Cohabiting;0;49;0;6;6;10;7.5;507387;17;1;0;$397,300.00;$390,800.00;0;1;1;F;10;5
52019;30000;0;Married;2;49;0;7;9;12;9.1;429751;30;1;0;$237,900.00;$208,400.00;0;1;1;F;10;1
52019;30000;0;Single;1;42;0;1;3;6;7.3;562122;8;0;0;$343,400.00;$341,500.00;0;0;1;F;8;8
52019;170000;0;Single;0;36;0;6;9;36;13.5;415526;12;0;0;$336,400.00;$301,300.00;1;1;1;M;13;4
52019;400000;0;Married;1;35;0;10;45;55;12;258133;5;1;0;$280,200.00;$288,100.00;1;0;1;M;12;4
52019;65000;0;Married;2;34;0;0;2;4;1.1;55472;5;1;0;$286,400.00;$316,900.00;0;0;1;F;3;0
52019;10000;0;Married;2;34;0;3;9;16;7.8;479438;5;0;0;$519,900.00;$320,200.00;0;0;1;F;10;3
52019;400000;0;Single;0;28;0;3;5;11;17.9;476826;5;0;0;$352,400.00;$295,200.00;1;0;1;M;8;2
52019;50000;0;Single;0;28;0;1;2;6;5.9;637026;11;0;1;$404,100.00;$508,200.00;1;0;1;M;10;1
52019;100000;0;Cohabiting;2;25;0;3;8;18;13.6;239616;8;0;0;$118,200.00;$183,000.00;1;0;1;F;1;2
52019;30000;0;Single;0;24;0;8;22;30;13.7;512790;8;0;0;$240,700.00;$345,200.00;1;0;1;M;7;4
52019;400000;0;Married;1;24;0;4;12;22;8.9;382327;3;0;0;$288,400.00;$183,300.00;0;0;1;F;1;5
52019;20000;0;Cohabiting;0;62;0;7;8;19;11;590892;14;0;0;$213,200.00;$208,800.00;0;0;1;M;10;5
52019;200000;0;Married;0;60;0;3;10;12;12.1;320397;19;1;0;$268,600.00;$277,100.00;1;0;1;F;8;2
52019;380000;0;Single;0;60;0;8;16;52;17.7;356736;8;0;0;$227,200.00;$228,300.00;1;0;1;M;12;4
52019;150000;0;Married;0;57;0;1;5;12;14.2;402478;10;0;0;$295,800.00;$296,900.00;1;0;1;F;10;2
52019;400000;0;Cohabiting;0;56;0;4;4;6;1.9;415118;10;1;0;$289,700.00;$302,900.00;1;1;1;M;12;8
52019;400000;0;Married;0;55;0;9;11;17;15.2;515964;5;0;0;$346,300.00;$346,800.00;1;0;1;F;1;4
52019;400000;0;Married;0;49;0;2;4;7;4.2;558991;4;1;0;$296,800.00;$278,800.00;1;0;1;M;9;3
52019;100000;0;Married;0;49;0;6;6;8;4.9;385757;3;0;0;$244,600.00;$238,100.00;0;0;1;F;14;4
52019;150000;0;Single;0;48;0;10;14;42;6.7;0;2;0;1;$242,500.00;$138,400.00;0;0;1;M;1;4
52019;400000;0;Single;0;47;0;1;2;15;17.5;377377;21;0;0;$416,500.00;$420,800.00;1;1;1;M;1;5
52019;150000;0;Married;0;47;0;1;1;8;10.7;229605;5;0;0;$174,400.00;$315,700.00;0;0;1;M;10;4
52019;400000;0;Single;0;45;0;2;5;9;13.9;663226;13;0;0;$262,100.00;$302,400.00;1;0;1;M;1;1
52019;150000;0;Cohabiting;1;44;0;4;5;6;2.9;146776;2;0;0;$473,100.00;$444,600.00;1;0;0;M;14;2
52019;200000;0;Married;0;44;0;0;0;1;0.9;141008;3;0;0;$470,600.00;$418,900.00;0;0;1;F;3;4
52019;400000;0;Single;1;43;0;2;2;5;1;771977;7;0;0;$426,000.00;$399,100.00;1;0;1;M;9;3
52019;400000;0;Single;0;43;0;4;8;8;0.4;0;2;0;0;$269,600.00;$128,600.00;1;0;1;M;13;2
